Month_Year,Thermal Generation,Coal,Peat,Oil,Natural Gas,Combustible Renewables,Wastes,Other (CHP etc),Non-Combustible Renewable Generation,Hydro,Wind,Solar,Indigenous Generation,Net imports,Imports,Exports,Total Generation,Pumped Hydro Storage,Pumping,Generated,Total Generated Less Pumped Hydro Storage Losses
Jan-10,2166,400,195,77,1474,0,0,20,345,97,248,0,2511,133,138,-4,2644,-20,-50,30,2624
Feb-10,2044,407,190,29,1395,0,0,22,211,60,151,0,2255,99,108,-8,2354,-18,-44,27,2336
Mar-10,2109,308,172,16,1592,0,0,22,280,29,251,0,2390,61,74,-13,2450,-18,-48,30,2432
Apr-10,1851,233,213,14,1368,0,0,23,260,74,186,0,2112,32,51,-19,2144,-18,-46,28,2126
May-10,1829,272,177,7,1354,0,0,19,181,13,169,0,2010,102,105,-3,2113,-18,-45,28,2095
Jun-10,1816,167,141,34,1456,0,0,17,159,3,155,0,1975,33,51,-18,2008,-18,-47,29,1990
Jul-10,1777,243,94,1,1420,0,0,19,286,18,268,0,2063,-19,23,-41,2045,-4,-7,3,2041
Aug-10,1764,226,89,16,1413,0,0,20,221,14,207,0,1985,38,55,-17,2023,0,0,0,2023
Sep-10,1788,220,164,7,1376,0,0,22,340,51,289,0,2128,-59,14,-73,2070,0,0,0,2069
Oct-10,1851,275,225,11,1319,0,0,22,363,41,322,0,2214,-13,24,-36,2201,0,0,0,2201
Nov-10,1980,296,221,21,1419,0,0,22,442,101,341,0,2422,-22,26,-48,2399,0,0,0,2399
Dec-10,2300,425,209,71,1573,0,0,21,270,51,219,0,2570,83,92,-9,2653,0,0,0,2653
Jan-11,2125,320,228,19,1549,0,0,10,365,91,275,0,2491,55,70,-16,2546,0,0,0,2545
Feb-11,1714,290,207,11,1193,0,0,13,451,96,355,0,2165,49,65,-16,2214,0,0,0,2214
Mar-11,1991,394,235,6,1341,0,0,15,256,50,206,0,2247,84,94,-11,2331,0,0,0,2331
Apr-11,1647,304,117,16,1197,0,0,13,275,29,246,0,1922,128,130,-2,2050,0,0,0,2050
May-11,1433,281,128,1,1006,0,0,16,571,29,542,0,2004,92,101,-9,2096,0,0,0,2096
Jun-11,1613,292,133,1,1172,0,0,14,270,27,242,0,1883,100,104,-3,1983,0,0,0,1983
Jul-11,1725,246,130,1,1334,0,0,13,203,18,185,0,1928,64,70,-6,1992,0,0,0,1992
Aug-11,1784,290,92,7,1381,0,0,13,205,15,190,0,1989,39,55,-16,2028,0,0,0,2028
Sep-11,1485,278,193,0,998,0,0,16,521,38,483,0,2006,3,23,-19,2009,0,0,0,2009
Oct-11,1694,351,225,4,1096,0,0,16,521,70,451,0,2215,-28,9,-37,2187,0,0,0,2187
Nov-11,1655,401,180,5,1058,0,0,11,647,101,546,0,2302,-42,6,-48,2260,0,0,0,2260
Dec-11,1722,388,206,2,1108,0,0,17,765,116,649,0,2487,-54,3,-57,2433,0,0,0,2433
Jan-12,1859,339,227,7,1266,0,4,15,637,100,537,0,2496,-113,3,-115,2383,0,0,0,2383
Feb-12,1798,454,221,0,1102,0,6,15,453,80,373,0,2251,-29,25,-54,2222,0,-2,2,2222
Mar-12,1798,412,210,1,1150,0,11,14,346,37,309,0,2143,82,88,-6,2225,-4,-12,8,2221
Apr-12,1655,421,204,0,1007,0,11,13,378,15,362,0,2033,54,66,-12,2087,-1,-1,0,2086
May-12,1769,354,231,6,1157,0,9,11,281,22,258,0,2049,49,67,-18,2099,-5,-17,11,2093
Jun-12,1577,358,208,3,989,0,8,10,313,73,240,0,1890,65,74,-9,1955,-12,-32,20,1943
Jul-12,1647,461,212,2,952,0,8,12,295,74,221,0,1943,55,66,-12,1997,-15,-41,26,1983
Aug-12,1577,311,155,4,1091,0,4,12,356,63,293,0,1933,74,96,-22,2008,-17,-46,29,1990
Sep-12,1567,344,160,2,1039,0,10,13,351,41,310,0,1919,82,98,-16,2001,-19,-43,24,1982
Oct-12,1832,485,181,3,1138,0,11,14,347,75,272,0,2179,33,56,-23,2212,-23,-51,28,2190
Nov-12,1848,489,214,5,1115,0,9,16,447,87,361,0,2296,-5,40,-44,2291,-20,-50,29,2271
Dec-12,1754,464,192,3,1070,0,10,15,557,94,463,0,2310,65,103,-38,2375,-22,-53,31,2354
Jan-13,1738,453,199,1,1054,0,11,19,567,118,449,0,2306,138,183,-44,2444,-21,-52,31,2423
Feb-13,1600,406,182,1,983,0,10,19,495,97,398,0,2095,118,158,-40,2213,-19,-46,27,2194
Mar-13,1912,450,198,8,1229,0,6,21,479,48,432,0,2391,17,47,-30,2408,-22,-52,31,2386
Apr-13,1620,391,158,2,1038,0,12,20,489,44,446,0,2110,64,106,-42,2174,-21,-50,29,2153
May-13,1307,272,115,1,890,0,9,20,475,41,434,0,1781,340,349,-8,2122,-18,-43,26,2104
Jun-13,1435,372,117,1,915,0,12,19,267,19,247,0,1702,235,273,-38,1937,-19,-48,28,1917
Jul-13,1655,452,197,1,977,0,11,17,144,4,140,0,1799,254,273,-19,2053,-21,-50,29,2032
Aug-13,1485,274,220,0,962,0,12,18,275,14,261,0,1760,268,304,-36,2028,-19,-45,26,2010
Sep-13,1537,285,232,3,989,0,12,16,322,10,312,0,1859,168,196,-29,2027,-21,-49,28,2006
Oct-13,1540,232,241,3,1037,0,10,18,469,51,418,0,2009,242,281,-39,2250,-22,-51,29,2229
Nov-13,1651,297,228,6,1089,0,10,21,388,52,336,0,2038,232,255,-23,2270,-20,-47,27,2250
Dec-13,1491,293,231,4,934,0,10,19,732,75,657,0,2223,167,201,-34,2390,-22,-53,30,2368
