Year,Month,Traffic_Accident_Fatalities,Dangerous_Driving,Seatbelts,Mobile_Phones,Speeding,Population_of_Ireland_in_Thousands
2008,Jan,25,1272,2164,3225,11543,4485.1
2008,Feb,32,1307,3371,3533,13314,4485.1
2008,March,20,886,2768,3122,16629,4485.1
2008,April,19,743,2895,4105,16911,4485.1
2008,May,19,792,3287,4230,19622,4485.1
2008,June,28,617,2814,3569,17711,4485.1
2008,July,26,612,2441,3367,17038,4485.1
2008,Aug,28,611,2070,3091,14610,4485.1
2008,Sept,19,510,1985,3370,13073,4485.1
2008,Oct,22,606,1834,3502,10712,4485.1
2008,Nov,22,612,1687,3291,17216,4485.1
2008,Dec,19,526,1409,2938,9792,4485.1
2009,Jan,18,609,1692,3109,13477,4533.4
2009,Feb,15,538,1863,3031,13668,4533.4
2009,March,24,617,1824,3534,15086,4533.4
2009,April,20,570,1830,3436,15095,4533.4
2009,May,28,631,1972,3210,21979,4533.4
2009,June,15,608,2067,3081,16397,4533.4
2009,July,19,540,1794,2908,14757,4533.4
2009,Aug,20,581,1914,3048,17741,4533.4
2009,Sept,14,442,1975,3168,14530,4533.4
2009,Oct,22,537,1450,2593,13911,4533.4
2009,Nov,25,483,1174,2335,15218,4533.4
2009,Dec,18,435,938,2117,8486,4533.4
2010,Jan,15,477,1121,2646,7696,4554.8
2010,Feb,14,430,1592,2819,12083,4554.8
2010,March,12,532,1564,3305,9581,4554.8
2010,April,19,467,1689,3521,17171,4554.8
2010,May,28,558,1731,3254,15027,4554.8
2010,June,11,472,1769,3091,18367,4554.8
2010,July,21,565,1503,2821,14625,4554.8
2010,Aug,19,528,1888,2952,15761,4554.8
2010,Sept,13,501,1615,3004,14767,4554.8
2010,Oct,36,519,1407,3017,17378,4554.8
2010,Nov,14,538,1035,2740,11325,4554.8
2010,Dec,10,313,469,1465,4342,4554.8
2011,Jan,21,409,1233,3078,19548,4574.9
2011,Feb,18,430,1193,3032,29941,4574.9
2011,March,15,463,1726,3095,23786,4574.9
2011,April,8,452,1775,3189,23378,4574.9
2011,May,11,422,1019,2046,19773,4574.9
2011,June,15,436,1412,2792,22457,4574.9
2011,July,18,567,1488,2842,22513,4574.9
2011,Aug,16,484,1497,3125,18580,4574.9
2011,Sept,13,421,1392,2781,22143,4574.9
2011,Oct,15,456,1276,2844,21182,4574.9
2011,Nov,18,383,1030,2791,25212,4574.9
2011,Dec,18,373,682,1807,14286,4574.9
2012,Jan,10,399,1072,2521,20387,4593.7
2012,Feb,13,376,1201,2646,19339,4593.7
2012,March,12,382,1287,2742,16843,4593.7
2012,April,16,368,1246,2624,19914,4593.7
2012,May,13,433,1701,3336,21639,4593.7
2012,June,26,383,1138,2401,18994,4593.7
2012,July,15,372,1168,2431,17939,4593.7
2012,Aug,12,365,1393,2575,19166,4593.7
2012,Sept,10,351,1092,2630,23007,4593.7
2012,Oct,15,346,1082,2618,19663,4593.7
2012,Nov,8,298,927,2699,17349,4593.7
2012,Dec,12,266,527,1560,10801,4593.7
2013,Jan,19,332,734,2210,13641,4614.7
2013,Feb,14,286,865,2100,12553,4614.7
2013,March,15,275,892,1525,12119,4614.7
2013,April,12,353,1088,2535,18712,4614.7
2013,May,17,383,1320,2480,19421,4614.7
2013,June,13,359,1213,2220,19733,4614.7
2013,July,18,297,1166,2219,18905,4614.7
2013,Aug,18,270,1073,2257,20276,4614.7
2013,Sept,17,277,1140,3154,17126,4614.7
2013,Oct,13,265,1050,3167,21790,4614.7
2013,Nov,16,181,846,2741,17090,4614.7
2013,Dec,16,160,637,2330,14353,4614.7
2014,Jan,16,188,868,2914,15803,4645.4
2014,Feb,13,176,844,3072,14354,4645.4
2014,March,15,214,1240,3922,16306,4645.4
2014,April,14,249,1273,5031,23397,4645.4
2014,May,18,201,1019,2104,24370,4645.4
2014,June,18,222,1020,1781,19600,4645.4
2014,July,18,186,1129,1860,19264,4645.4
2014,Aug,15,191,1059,1916,19013,4645.4
2014,Sept,11,214,1110,2067,19703,4645.4
2014,Oct,17,202,790,1815,19810,4645.4
2014,Nov,20,168,666,2067,16399,4645.4
2014,Dec,17,173,495,1975,15172,4645.4
2015,Jan,12,198,666,2217,13088,4687.8
2015,Feb,13,163,854,2549,15149,4687.8
2015,March,11,217,1069,2513,19632,4687.8
2015,April,7,259,1238,3707,20796,4687.8
2015,May,12,256,1008,2874,20227,4687.8
2015,June,13,263,1067,2431,20320,4687.8
2015,July,19,205,918,2381,21252,4687.8
2015,Aug,14,193,976,2160,20597,4687.8
2015,Sept,16,201,998,2345,19792,4687.8
2015,Oct,11,209,841,2183,17740,4687.8
2015,Nov,14,187,779,2148,14902,4687.8
2015,Dec,20,165,417,1263,14393,4687.8
